Date,Account Management,INSURECON
20230104,HAS,10174
20230104,HAS,10191
20230104,HAS,10193
20230104,HAS,10199
20230104,HAS,10483
20230104,HAS,10520
20230104,HAS,10562
20230104,HAS,10656
20230104,HAS,10846
20230104,HAS,10885
20230104,HAS,11028
20230104,HAS,11032
20230104,HAS,11092
20230104,HAS,11195
20230104,HAS,11305
20230104,HAS,11403
20230104,HAS,11494
20230104,HAS,11561
20230104,HAS,11569
20230104,HAS,11607
20230104,HAS,11624
20230104,HAS,11656
20230104,HAS,11721
20230104,HAS,11803
20230104,HAS,11823
20230104,HAS,11833
20230104,HAS,11866
20230104,HAS,12155
20230104,HAS,12169
20230104,HAS,12199
20230104,HAS,12248
20230104,HAS,12276
20230104,HAS,12305
20230104,HAS,12388
20230104,HAS,12550
20230104,HAS,12667
20230104,HAS,12749
20230104,HAS,12811
20230104,HAS,12842
20230104,HAS,12845
20230104,HAS,12952
20230104,HAS,13153
20230104,HAS,13191
20230104,HAS,13205
20230104,HAS,13241
20230104,HAS,13250
20230104,HAS,13281
20230104,HAS,13386
20230104,HAS,13541
20230104,HAS,13728
20230104,HAS,13762
20230104,HAS,13852
20230104,HAS,14003
20230104,HAS,14163
20230104,HAS,14407
20230104,HAS,14414
20230104,HAS,14416
20230104,HAS,14419
20230104,HAS,14427
20230104,HAS,14450
20230104,HAS,14520
20230104,HAS,14532
20230104,HAS,14574
20230104,HAS,14576
20230104,HAS,14678
20230104,HAS,14691
20230104,HAS,14850
20230104,HAS,2233
20230104,HAS,2428
20230104,HAS,2663
20230104,HAS,2694
20230104,HAS,2933
20230104,HAS,3053
20230104,HAS,3056
20230104,HAS,3076
20230104,HAS,3165
20230104,HAS,3449
20230104,HAS,3772
20230104,HAS,3957
20230104,HAS,4166
20230104,HAS,4218
20230104,HAS,4423
20230104,HAS,5071
20230104,HAS,5105
20230104,HAS,5193
20230104,HAS,5265
20230104,HAS,5310
20230104,HAS,5374
20230104,HAS,5579
20230104,HAS,5723
20230104,HAS,5751
20230104,HAS,5786
20230104,HAS,6304
20230104,HAS,6316
20230104,HAS,6346
20230104,HAS,6594
20230104,HAS,6710
20230104,HAS,7074
20230104,HAS,7802
20230104,HAS,8001
20230104,HAS,80031
20230104,HAS,80046
20230104,HAS,8005
20230104,HAS,80086
20230104,HAS,80093
20230104,HAS,80094
20230104,HAS,80121
20230104,HAS,80203
20230104,HAS,80217
20230104,HAS,80246
20230104,HAS,80255
20230104,HAS,80350
20230104,HAS,80456
20230104,HAS,80477
20230104,HAS,80523
20230104,HAS,80555
20230104,HAS,80618
20230104,HAS,80646
20230104,HAS,80649
20230104,HAS,80674
20230104,HAS,80802
20230104,HAS,80808
20230104,HAS,80839
20230104,HAS,80852
20230104,HAS,80864
20230104,HAS,80886
20230104,HAS,8135
20230104,HAS,8155
20230104,HAS,8203
20230104,HAS,8216
20230104,HAS,8223
20230104,HAS,8625
20230104,HAS,9004
20230104,HAS,9137
20230104,HAS,9155
20230104,HAS,9190
20230104,HAS,9308
20230104,HAS,9331
20230104,HAS,9610
20230104,HAS,9636
